Drug,District,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
Cannabis,11,1153451,1899321,2003,41.87957896,-87.71201369,"(41.879579, -87.712014)"
Heroin,11,1144423,1898602,2006,41.8777805,-87.74518159,"(41.877781, -87.745182)"
Cannabis,6,1169547,1853727,2015,41.75412938,-87.65423481,"(41.754129, -87.654235)"
Heroin,11,1145078,1898997,2015,41.87885209,-87.74276659,"(41.878852, -87.742767)"
Cannabis,22,1169053,1836874,2007,41.70789298,-87.65653079,"(41.707893, -87.656531)"
Crack,11,1156864,1894979,2010,41.86759559,-87.69959933,"(41.867596, -87.699599)"
Crack,15,1139931,1900425,2008,41.88286633,-87.76163073,"(41.882866, -87.761631)"
Cannabis,6,1183070,1847903,2010,41.73784409,-87.60485852,"(41.737844, -87.604859)"
Crack,15,1143609,1898880,2010,41.87855864,-87.74816347,"(41.878559, -87.748163)"
Cannabis,11,1154228,1895173,2011,41.86818094,-87.70927139,"(41.868181, -87.709271)"
Cannabis,9,1158782,1870725,2008,41.80100073,-87.69322153,"(41.801001, -87.693222)"
Cannabis,12,1168954,1903639,2006,41.89110577,-87.65496379,"(41.891106, -87.654964)"
Crack,5,1183449,1818549,2009,41.65728407,-87.60438018,"(41.657284, -87.60438)"
Crack,10,1154907,1893657,2003,41.8640073,-87.70681925,"(41.864007, -87.706819)"
Cannabis,7,1166082,1863227,2007,41.780273,-87.66666307,"(41.780273, -87.666663)"
Cannabis,24,1160156,1941163,2001,41.99426023,-87.68623419,"(41.99426, -87.686234)"
Cannabis,11,1151155,1904408,2007,41.89358353,-87.72031089,"(41.893584, -87.720311)"
Crack,15,1143354,1900647,2005,41.88341227,-87.74905562,"(41.883412, -87.749056)"
Cannabis,3,1185102,1862461,2004,41.77774522,-87.59695733,"(41.777745, -87.596957)"
Crack,15,1144170,1901499,2009,41.88573497,-87.74603776,"(41.885735, -87.746038)"
Cannabis,11,1148055,1901116,2004,41.88461013,-87.73178097,"(41.88461, -87.731781)"
Crack,7,1170404,1862683,2007,41.77868716,-87.65083376,"(41.778687, -87.650834)"
Crack,19,1166207,1931604,2006,41.96790242,-87.6642507,"(41.967902, -87.664251)"
Cocaine,10,1158042,1889095,2015,41.85142533,-87.69543518,"(41.851425, -87.695435)"
Cannabis,19,1172031,1924865,2015,41.94928361,-87.64303608,"(41.949284, -87.643036)"
Crack,11,1150411,1899208,2004,41.87932873,-87.72317915,"(41.879329, -87.723179)"
Cannabis,11,1154228,1895173,2011,41.86818094,-87.70927139,"(41.868181, -87.709271)"
Cannabis,25,1140332,1915028,2003,41.92293134,-87.75979971,"(41.922931, -87.7598)"
Cannabis,16,1138157,1926035,2004,41.95317533,-87.76752458,"(41.953175, -87.767525)"
Crack,11,1149554,1905881,2008,41.89765683,-87.72615257,"(41.897657, -87.726153)"
Cannabis,25,1149205,1915653,2016,41.92447892,-87.72718077,"(41.924479, -87.727181)"
Crack,9,1168744,1871621,2007,41.80325007,-87.65666153,"(41.80325, -87.656662)"
Heroin,11,1147004,1901447,2013,41.88553858,-87.73563196,"(41.885539, -87.735632)"
Cannabis,6,1177483,1852629,2008,41.75094076,-87.62518522,"(41.750941, -87.625185)"
Cannabis,9,1175559,1880272,2002,41.82683925,-87.63140865,"(41.826839, -87.631409)"
Crack,10,1150299,1892173,2014,41.86002606,-87.72377383,"(41.860026, -87.723774)"
Crack,15,1143398,1904190,2009,41.89313386,-87.74880542,"(41.893134, -87.748805)"
Cannabis,1,1176436,1898416,2013,41.87660796,-87.62764406,"(41.876608, -87.627644)"
Heroin,11,1158319,1896592,2007,41.87199222,-87.69421368,"(41.871992, -87.694214)"
Heroin,18,1172421,1908991,2001,41.90571604,-87.64207292,"(41.905716, -87.642073)"
Cannabis,8,1159081,1864389,2015,41.78360777,-87.69229825,"(41.783608, -87.692298)"
Cannabis,6,1183277,1852629,2008,41.75080794,-87.60395337,"(41.750808, -87.603953)"
Cannabis,7,1169392,1863359,2015,41.78056416,-87.65452425,"(41.780564, -87.654524)"
Heroin,11,1157822,1896479,2007,41.87169228,-87.69604146,"(41.871692, -87.696041)"
Cannabis,2,1183070,1875715,2015,41.81416281,-87.60399435,"(41.814163, -87.603994)"
Crack,15,1141476,1896816,2015,41.8729344,-87.75604648,"(41.872934, -87.756046)"
Cannabis,4,1194222,1853373,2004,41.75258792,-87.56382193,"(41.752588, -87.563822)"
Crack,2,1178540,1868408,2005,41.79421605,-87.62083285,"(41.794216, -87.620833)"
Cannabis,22,1168858,1846722,2013,41.73492158,-87.65696154,"(41.734922, -87.656962)"
Cannabis,7,1167661,1866095,2005,41.7881094,-87.66079195,"(41.788109, -87.660792)"
Cannabis,18,1175901,1908369,2011,41.90393158,-87.62930855,"(41.903932, -87.629309)"
Crack,11,1145141,1897125,2016,41.8737139,-87.74258257,"(41.873714, -87.742583)"
Cannabis,15,1141672,1901087,2006,41.88465094,-87.75522124,"(41.884651, -87.755221)"
Crack,7,1170912,1856254,2005,41.76103411,-87.64915888,"(41.761034, -87.649159)"
Crack,25,1142135,1907930,2003,41.90342037,-87.75335115,"(41.90342, -87.753351)"
Cannabis,9,1160405,1870774,2009,41.80110187,-87.68726805,"(41.801102, -87.687268)"
Heroin,11,1149813,1897225,2007,41.8738988,-87.7254265,"(41.873899, -87.725426)"
Cannabis,3,1193635,1855702,2006,41.75899327,-87.56589686,"(41.758993, -87.565897)"
Cannabis,10,1152370,1889447,2002,41.85250499,-87.71624361,"(41.852505, -87.716244)"
Crack,6,1169389,1851451,2002,41.74788715,-87.65487959,"(41.747887, -87.65488)"
Cannabis,14,1154793,1910804,2008,41.91106263,-87.70677814,"(41.911063, -87.706778)"
Heroin,6,1183997,1850631,2014,41.74530843,-87.60137726,"(41.745308, -87.601377)"
Cannabis,15,1138889,1904439,2010,41.89390024,-87.76535949,"(41.8939, -87.765359)"
Cocaine,8,1137341,1866460,2007,41.78970807,-87.77195658,"(41.789708, -87.771957)"
Heroin,2,1176170,1875156,2003,41.81278678,-87.6293208,"(41.812787, -87.629321)"
Cannabis,12,1157217,1899887,2003,41.88105647,-87.69817007,"(41.881056, -87.69817)"
Heroin,6,1184603,1852495,2003,41.75040928,-87.59909851,"(41.750409, -87.599099)"
Heroin,11,1156459,1897358,2015,41.87413201,-87.70102182,"(41.874132, -87.701022)"
Cannabis,7,1167012,1865795,2006,41.78730007,-87.66318016,"(41.7873, -87.66318)"
Crack,10,1151294,1892243,2006,41.8601987,-87.72011959,"(41.860199, -87.72012)"
Cannabis,8,1150563,1870470,2008,41.80046498,-87.7233704,"(41.800465, -87.72337)"
Cannabis,8,1149268,1862490,2012,41.77859173,-87.72832558,"(41.778592, -87.728326)"
Cannabis,19,1167990,1930845,2014,41.9657813,-87.65771679,"(41.965781, -87.657717)"
Crack,25,1150351,1909695,2014,41.90810731,-87.72312561,"(41.908107, -87.723126)"
Crack,15,1138461,1900176,2002,41.88220979,-87.76703474,"(41.88221, -87.767035)"
Cannabis,11,1157199,1894911,2012,41.8674022,-87.69837133,"(41.867402, -87.698371)"
Cannabis,6,1172111,1848977,2003,41.74103883,-87.64497786,"(41.741039, -87.644978)"
Cannabis,4,1194218,1853562,2006,41.75310665,-87.56383039,"(41.753107, -87.56383)"
Crack,7,1169703,1860366,2010,41.77234426,-87.65347082,"(41.772344, -87.653471)"
Cannabis,15,1140304,1901135,2010,41.88480784,-87.76024362,"(41.884808, -87.760244)"
Cannabis,3,1182684,1861922,2007,41.77632263,-87.60583838,"(41.776323, -87.605838)"
Cannabis,2,1176624,1889508,2001,41.85215959,-87.62722281,"(41.85216, -87.627223)"
Crack,11,1148116,1898672,2004,41.87790234,-87.73161989,"(41.877902, -87.73162)"
Crack,15,1142156,1907039,2009,41.90097497,-87.75329615,"(41.900975, -87.753296)"
Cannabis,5,1178462,1834347,2002,41.70075045,-87.6221512,"(41.70075, -87.622151)"
Crack,4,1192116,1844223,2007,41.72753093,-87.5718361,"(41.727531, -87.571836)"
Crack,8,1160836,1861115,2007,41.77458738,-87.68595414,"(41.774587, -87.685954)"
Cannabis,24,1161661,1948615,2005,42.01467738,-87.68048912,"(42.014677, -87.680489)"
Cocaine,24,1160802,1950357,2002,42.01947541,-87.68360125,"(42.019475, -87.683601)"
Crack,11,1148246,1898676,2006,41.87791082,-87.73114245,"(41.877911, -87.731142)"
Cannabis,25,1136758,1908943,2009,41.90629823,-87.77307805,"(41.906298, -87.773078)"
Cannabis,5,1183344,1818742,2008,41.65781613,-87.60475842,"(41.657816, -87.604758)"
Cannabis,8,1160146,1861870,2010,41.77667343,-87.68846282,"(41.776673, -87.688463)"
Crack,9,1174999,1876680,2014,41.81699502,-87.63357051,"(41.816995, -87.633571)"
Heroin,15,1143984,1906209,2012,41.89866325,-87.74660253,"(41.898663, -87.746603)"
Cannabis,2,1183702,1874375,2013,41.81047101,-87.60171799,"(41.810471, -87.601718)"
Heroin,11,1144476,1897143,2007,41.87377583,-87.74502371,"(41.873776, -87.745024)"
Cannabis,25,1151459,1910380,2002,41.90996531,-87.71903733,"(41.909965, -87.719037)"
Cannabis,14,1161508,1908384,2008,41.90428471,-87.682177,"(41.904285, -87.682177)"
Cannabis,15,,,2010,,,
Cannabis,22,1171070,1838958,2006,41.71356805,-87.6490838,"(41.713568, -87.649084)"
Cannabis,9,1164239,1869993,2007,41.79887877,-87.67322937,"(41.798879, -87.673229)"
Crack,7,1174257,1867134,2005,41.7908164,-87.6365762,"(41.790816, -87.636576)"
Cannabis,10,1164474,1889398,2001,41.85212325,-87.67181964,"(41.852123, -87.67182)"
Cannabis,15,1143671,1901133,2003,41.88473998,-87.74787939,"(41.88474, -87.747879)"
Cannabis,12,1162465,1890388,2007,41.85488214,-87.67916555,"(41.854882, -87.679166)"
Crack,4,1194521,1854750,2005,41.75635917,-87.56268104,"(41.756359, -87.562681)"
Heroin,11,1151170,1907355,2006,41.9016701,-87.72017844,"(41.90167, -87.720178)"
Hallucinogens,5,1177141,1835088,2013,41.70281369,-87.62696594,"(41.702814, -87.626966)"
Heroin,9,1175354,1875594,2006,41.81400699,-87.63230078,"(41.814007, -87.632301)"
Heroin,2,1176318,1865602,2012,41.78656635,-87.62906506,"(41.786566, -87.629065)"
Heroin,2,1176436,1875603,2003,41.8140074,-87.62833167,"(41.814007, -87.628332)"
Cannabis,25,1129536,1915851,2013,41.92538104,-87.79944977,"(41.925381, -87.79945)"
Cannabis,4,1198595,1850357,2003,41.74420336,-87.54789796,"(41.744203, -87.547898)"
Crack,24,1163841,1948859,2005,42.01530102,-87.67246065,"(42.015301, -87.672461)"
Crack,3,1179518,1864941,2005,41.78467998,-87.61735247,"(41.78468, -87.617352)"
Cannabis,5,1172963,1823950,2014,41.67234227,-87.64259173,"(41.672342, -87.642592)"
Cannabis,15,1140877,1899508,2009,41.88033262,-87.75817949,"(41.880333, -87.758179)"
Crack,22,1168521,1846876,2005,41.73535144,-87.65819175,"(41.735351, -87.658192)"
Crack,11,1152856,1905289,2001,41.89596756,-87.71404031,"(41.895968, -87.71404)"
Heroin,10,,,2016,,,
Heroin,3,1184197,1862713,2001,41.77845795,-87.60026716,"(41.778458, -87.600267)"
Heroin,9,1175486,1873856,2001,41.80923481,-87.63186863,"(41.809235, -87.631869)"
Cannabis,24,1164444,1942364,2006,41.99746581,-87.67042688,"(41.997466, -87.670427)"
Cannabis,6,1177650,1852817,2015,41.75145288,-87.62456758,"(41.751453, -87.624568)"
Heroin,11,1151709,1896448,2014,41.87172956,-87.71848567,"(41.87173, -87.718486)"
Heroin,7,1174299,1867621,2012,41.79215184,-87.63640773,"(41.792152, -87.636408)"
Cannabis,11,1152338,1901575,2015,41.88578621,-87.71604096,"(41.885786, -87.716041)"
Cocaine,9,1166175,1871928,2004,41.80414762,-87.66607453,"(41.804148, -87.666075)"
Cannabis,6,1177762,1841949,2006,41.7216272,-87.62448518,"(41.721627, -87.624485)"
Cannabis,5,1178927,1827640,2012,41.68233493,-87.62065173,"(41.682335, -87.620652)"
Heroin,12,1166406,1894142,2005,41.86510015,-87.66459307,"(41.8651, -87.664593)"
Cannabis,3,1180145,1863331,2010,41.78024763,-87.61510296,"(41.780248, -87.615103)"
Cannabis,17,1151961,1931667,2009,41.96836863,-87.71663061,"(41.968369, -87.716631)"
Crack,20,1168228,1937707,2012,41.98460567,-87.65664241,"(41.984606, -87.656642)"
Cannabis,14,1153221,1913743,2002,41.91915887,-87.71247499,"(41.919159, -87.712475)"
Heroin,15,1144109,1898892,2010,41.8785822,-87.74632725,"(41.878582, -87.746327)"
Crack,22,1166375,1826417,2007,41.67925455,-87.66663416,"(41.679255, -87.666634)"
Crack,15,1139535,1904757,2001,41.89476112,-87.76297914,"(41.894761, -87.762979)"
Cannabis,7,1163879,1859226,2010,41.7693403,-87.67485196,"(41.76934, -87.674852)"
Heroin,15,1141383,1902646,2003,41.88893437,-87.756244,"(41.888934, -87.756244)"
Cannabis,6,1171646,1853559,2008,41.75362264,-87.64654758,"(41.753623, -87.646548)"
Crack,25,1141390,1909445,2001,41.90759149,-87.75605029,"(41.907591, -87.75605)"
Cannabis,8,1162118,1860176,2008,41.77198405,-87.68128061,"(41.771984, -87.681281)"
Cannabis,22,1170953,1830465,2001,41.69026449,-87.64975918,"(41.690264, -87.649759)"
Crack,8,1144692,1873694,2008,41.80942445,-87.74482058,"(41.809424, -87.744821)"
Crack,2,1177953,1873730,2004,41.80883344,-87.62282402,"(41.808833, -87.622824)"
Heroin,15,1140342,1899707,2007,41.88088853,-87.76013911,"(41.880889, -87.760139)"
Heroin,11,1157196,1895006,2006,41.86766295,-87.69837977,"(41.867663, -87.69838)"
Cannabis,25,1148685,1910317,2011,41.9098465,-87.72922959,"(41.909846, -87.72923)"
Cannabis,10,1151081,1894440,2010,41.8662317,-87.72084393,"(41.866232, -87.720844)"
Crack,15,1143323,1904189,2008,41.89313252,-87.7490809,"(41.893133, -87.749081)"
Crack,15,1141094,1897075,2014,41.87365217,-87.75744263,"(41.873652, -87.757443)"
Crack,25,1141151,1907822,2014,41.9031422,-87.75696832,"(41.903142, -87.756968)"
Cannabis,2,1177289,1865734,2009,41.78690669,-87.62550091,"(41.786907, -87.625501)"
Cannabis,9,1158893,1881326,2001,41.83008893,-87.69252454,"(41.830089, -87.692525)"
Heroin,7,1172577,1868137,2004,41.79360594,-87.6427068,"(41.793606, -87.642707)"
Crack,18,1176517,1895340,2005,41.86816541,-87.62743954,"(41.868165, -87.62744)"
Cannabis,15,1142891,1899556,2011,41.88042707,-87.75078301,"(41.880427, -87.750783)"
Heroin,11,1150553,1894877,2004,41.8674412,-87.72277087,"(41.867441, -87.722771)"
Crack,5,1176518,1835313,2006,41.70344512,-87.62924046,"(41.703445, -87.62924)"
Cannabis,22,1169118,1839117,2009,41.71404672,-87.65622816,"(41.714047, -87.656228)"
Cocaine,12,1165388,1901800,2004,41.88613603,-87.66811227,"(41.886136, -87.668112)"
Crack,15,1137426,1904410,2011,41.89384711,-87.77073339,"(41.893847, -87.770733)"
Cocaine,25,1139606,1917418,2008,41.92950305,-87.76240884,"(41.929503, -87.762409)"
Cannabis,10,1150020,1890267,2010,41.85480119,-87.72484756,"(41.854801, -87.724848)"
Cannabis,6,1172662,1852812,2008,41.75155046,-87.64284629,"(41.75155, -87.642846)"
Crack,7,1170086,1862201,2015,41.77737141,-87.65201357,"(41.777371, -87.652014)"
Crack,2,1177605,1877189,2002,41.81833312,-87.62399568,"(41.818333, -87.623996)"
Crack,4,1189564,1853347,2008,41.75262963,-87.5808921,"(41.75263, -87.580892)"
Cannabis,15,1142904,1904007,2005,41.89264091,-87.75062429,"(41.892641, -87.750624)"
Cannabis,2,1180669,1879130,2015,41.82358942,-87.61269629,"(41.823589, -87.612696)"
Cannabis,12,1166425,1890499,2003,41.85510303,-87.66462748,"(41.855103, -87.664627)"
Heroin,15,1139912,1898671,2006,41.87805348,-87.76174339,"(41.878053, -87.761743)"
Crack,6,1171098,1849616,2014,41.74281451,-87.64867078,"(41.742815, -87.648671)"
Cannabis,7,1168123,1866253,2001,41.78853305,-87.65909344,"(41.788533, -87.659093)"
Cannabis,4,1195559,1852754,2012,41.75085642,-87.5589429,"(41.750856, -87.558943)"
Cannabis,1,1175303,1900360,2012,41.8819679,-87.63174569,"(41.881968, -87.631746)"
Cannabis,9,1171524,1870133,2005,41.79910632,-87.64650958,"(41.799106, -87.64651)"
Cannabis,10,1149822,1885481,2009,41.84167165,-87.72569861,"(41.841672, -87.725699)"
Crack,18,1171084,1908425,2002,41.90419237,-87.64700079,"(41.904192, -87.647001)"
Cannabis,6,1168199,1851700,2013,41.7485961,-87.65923299,"(41.748596, -87.659233)"
Cannabis,16,1140652,1930355,2013,41.96498423,-87.75824607,"(41.964984, -87.758246)"
Cannabis,15,1144147,1901839,2004,41.8866684,-87.74611368,"(41.886668, -87.746114)"
Cannabis,3,1190646,1856625,2005,41.76159871,-87.57682145,"(41.761599, -87.576821)"
Cannabis,25,1149389,1913096,2006,41.9174587,-87.72657114,"(41.917459, -87.726571)"
Heroin,11,1144957,1896216,2015,41.87122297,-87.74328108,"(41.871223, -87.743281)"
Cannabis,4,1195881,1843656,2004,41.7258828,-87.55806329,"(41.725883, -87.558063)"
Crack,10,1158463,1892956,2003,41.86201173,-87.69378445,"(41.862012, -87.693784)"
Cannabis,17,1150053,1923936,2005,41.94719167,-87.72384845,"(41.947192, -87.723848)"
Crack,18,1171685,1909232,2002,41.9063936,-87.64476938,"(41.906394, -87.644769)"
Cocaine,14,1155011,1910463,2010,41.91012252,-87.70598644,"(41.910123, -87.705986)"
Cannabis,18,1173962,1908314,2010,41.90382411,-87.63643255,"(41.903824, -87.636433)"
Crack,22,1167861,1846743,2014,41.73500065,-87.66061354,"(41.735001, -87.660614)"
Cannabis,11,1148389,1899836,2016,41.88109124,-87.73058748,"(41.881091, -87.730587)"
Heroin,8,1161371,1853899,2016,41.75477456,-87.68419253,"(41.754775, -87.684193)"
Heroin,15,1141959,1902399,2010,41.88824592,-87.7541348,"(41.888246, -87.754135)"
Cannabis,11,1151988,1901284,2009,41.88499458,-87.71733391,"(41.884995, -87.717334)"
Heroin,7,1172109,1860955,2009,41.77390802,-87.64463385,"(41.773908, -87.644634)"
Cannabis,18,1171278,1913694,2007,41.91864652,-87.64613311,"(41.918647, -87.646133)"
Cannabis,4,1193634,1853718,2013,41.75354904,-87.56596538,"(41.753549, -87.565965)"
Cannabis,14,1152190,1915724,2008,41.92461532,-87.71621065,"(41.924615, -87.716211)"
Cannabis,15,1142879,1902768,2001,41.88924141,-87.750747,"(41.889241, -87.750747)"
Crack,24,1164409,1949773,2004,42.017797,-87.67034457,"(42.017797, -87.670345)"
Crack,15,1139805,1900211,2008,41.88228139,-87.76209864,"(41.882281, -87.762099)"
Cannabis,11,1153226,1905373,2010,41.89619073,-87.71267914,"(41.896191, -87.712679)"
Crack,2,1176448,1875014,2002,41.81239086,-87.62830537,"(41.812391, -87.628305)"
Cannabis,8,1158365,1862738,2007,41.77909181,-87.69496832,"(41.779092, -87.694968)"
Cannabis,5,1177145,1834945,2007,41.70242119,-87.62695559,"(41.702421, -87.626956)"
Heroin,11,1149842,1907399,2008,41.90181678,-87.72505523,"(41.901817, -87.725055)"
Crack,22,1167885,1832363,2009,41.69553918,-87.66093703,"(41.695539, -87.660937)"
Cocaine,10,1159207,1889299,2009,41.8519613,-87.69115374,"(41.851961, -87.691154)"
Crack,10,1148709,1889675,2005,41.85320207,-87.72967481,"(41.853202, -87.729675)"
Cannabis,5,1178226,1825396,2005,41.67619294,-87.62328549,"(41.676193, -87.623285)"
Cannabis,25,1149229,1918746,2009,41.93296592,-87.72701221,"(41.932966, -87.727012)"
Cannabis,10,1149357,1890621,2005,41.85578548,-87.7272719,"(41.855785, -87.727272)"
Cocaine,19,1162527,1918809,2004,41.93287033,-87.67814138,"(41.93287, -87.678141)"
Heroin,12,1160449,1898500,2005,41.87718417,-87.68634075,"(41.877184, -87.686341)"
Crack,15,1144438,1898165,2010,41.87658104,-87.74513751,"(41.876581, -87.745138)"
Cannabis,15,1142459,1904846,2004,41.8949515,-87.75223775,"(41.894952, -87.752238)"
Cannabis,10,1154170,1891841,2015,41.85903872,-87.7095732,"(41.859039, -87.709573)"
Heroin,15,1143551,1904621,2006,41.89431371,-87.74823271,"(41.894314, -87.748233)"
Crack,11,1150441,1900494,2001,41.88285706,-87.72303542,"(41.882857, -87.723035)"
Crack,6,1165622,1852961,2010,41.75211148,-87.66864036,"(41.752111, -87.66864)"
Crack,6,1168772,1850348,2001,41.74487369,-87.65717224,"(41.744874, -87.657172)"
Cocaine,25,1141351,1914469,2010,41.92137862,-87.75606934,"(41.921379, -87.756069)"
Cannabis,5,1178880,1839619,2009,41.71520805,-87.62046083,"(41.715208, -87.620461)"
Cannabis,7,1167827,1860034,2005,41.7714737,-87.66035722,"(41.771474, -87.660357)"
Heroin,11,1153615,1903464,2006,41.89094451,-87.71130124,"(41.890945, -87.711301)"
Crack,15,1139431,1900748,2001,41.88376181,-87.7634589,"(41.883762, -87.763459)"
Cannabis,2,1179364,1871039,2004,41.80141697,-87.61773099,"(41.801417, -87.617731)"
Crack,3,1182034,1861097,2009,41.77407382,-87.60824671,"(41.774074, -87.608247)"
Heroin,7,1174010,1862378,2001,41.77777091,-87.63762299,"(41.777771, -87.637623)"
Cannabis,24,1159016,1950026,2007,42.01860415,-87.69018269,"(42.018604, -87.690183)"
Cannabis,5,1176341,1826019,2005,41.67794496,-87.63016641,"(41.677945, -87.630166)"
Heroin,2,1182387,1873880,2015,41.80914331,-87.60655655,"(41.809143, -87.606557)"
Cannabis,11,1153913,1904633,2007,41.89414643,-87.71017565,"(41.894146, -87.710176)"
Cocaine,10,1157863,1887277,2004,41.84644018,-87.69614166,"(41.84644, -87.696142)"
Cannabis,8,1161224,1859147,2012,41.76917888,-87.6845862,"(41.769179, -87.684586)"
Cannabis,22,1166208,1829738,2006,41.68837149,-87.66715145,"(41.688371, -87.667151)"
Heroin,11,1155578,1896200,2015,41.8709721,-87.70428762,"(41.870972, -87.704288)"
Crack,12,1167099,1904802,2005,41.89433717,-87.66174284,"(41.894337, -87.661743)"
Cannabis,4,1196924,1850991,2007,41.74598479,-87.5539995,"(41.745985, -87.553999)"
Cannabis,5,1179952,1816692,2003,41.65226861,-87.61723266,"(41.652269, -87.617233)"
Crack,18,1171165,1908231,2002,41.90365824,-87.64670896,"(41.903658, -87.646709)"
Cannabis,2,1179273,1879203,2012,41.82382175,-87.61781543,"(41.823822, -87.617815)"
Crack,10,1151465,1893629,2012,41.8639987,-87.71945551,"(41.863999, -87.719456)"
Heroin,15,1139269,1894979,2009,41.86793387,-87.76419426,"(41.867934, -87.764194)"
Cannabis,8,1161533,1860003,2002,41.77152146,-87.68342984,"(41.771521, -87.68343)"
Cannabis,24,1160713,1948667,2003,42.01483986,-87.68397594,"(42.01484, -87.683976)"
Cocaine,17,1145544,1928866,2003,41.96080679,-87.74029708,"(41.960807, -87.740297)"
Crack,11,1150614,1901733,2001,41.88625364,-87.72236776,"(41.886254, -87.722368)"
Cannabis,1,1176365,1900502,2009,41.88233367,-87.62784179,"(41.882334, -87.627842)"
Cannabis,10,1152999,1890699,2012,41.8559282,-87.71390182,"(41.855928, -87.713902)"
Cannabis,11,1148819,1898032,2014,41.87613256,-87.72905517,"(41.876133, -87.729055)"
Cannabis,6,1170953,1854714,2014,41.75680726,-87.64905351,"(41.756807, -87.649054)"
Crack,24,1164950,1946600,2013,42.00907872,-87.6684445,"(42.009079, -87.668444)"
Cannabis,3,,,2003,,,
Cocaine,25,1149417,1907705,2009,41.90266473,-87.72660838,"(41.902665, -87.726608)"
Heroin,6,1177161,1852624,2009,41.7509343,-87.62636533,"(41.750934, -87.626365)"
Crack,15,1139388,1904447,2009,41.89391312,-87.7635266,"(41.893913, -87.763527)"
Cocaine,9,1158337,1877175,2001,41.81870944,-87.69467773,"(41.818709, -87.694678)"
Heroin,7,1164170,1860721,2004,41.77343667,-87.67374326,"(41.773437, -87.673743)"
Heroin,11,1150191,1897734,2013,41.87528819,-87.72402539,"(41.875288, -87.724025)"
Crack,22,1167942,1841524,2009,41.7206772,-87.66046625,"(41.720677, -87.660466)"
Crack,6,1171036,1850334,2001,41.74478615,-87.64887703,"(41.744786, -87.648877)"
Crack,4,1197100,1819059,2005,41.65835592,-87.55441285,"(41.658356, -87.554413)"
Cannabis,8,1151521,1848911,2005,41.74128491,-87.72042052,"(41.741285, -87.720421)"
Cannabis,8,1159562,1857382,2001,41.7643697,-87.69072669,"(41.76437, -87.690727)"
Heroin,2,1179656,1873779,2013,41.80892909,-87.61657633,"(41.808929, -87.616576)"
Cannabis,10,,,2006,,,
Crack,15,1142487,1905552,2001,41.89688833,-87.75211734,"(41.896888, -87.752117)"
Heroin,19,1168796,1930206,2013,41.96401039,-87.65477191,"(41.96401, -87.654772)"
Crack,8,1161031,1861483,2007,41.77559319,-87.68522913,"(41.775593, -87.685229)"
Crack,11,1154260,1904136,2008,41.89277569,-87.7089145,"(41.892776, -87.708915)"
Heroin,11,1150304,1896741,2016,41.87256109,-87.72363639,"(41.872561, -87.723636)"
Heroin,11,1149591,1904621,2007,41.89419854,-87.72604942,"(41.894199, -87.726049)"
Cannabis,11,1153473,1899322,2003,41.87958127,-87.71193289,"(41.879581, -87.711933)"
Cannabis,7,1168840,1859337,2002,41.76953923,-87.65666401,"(41.769539, -87.656664)"
Crack,11,1153244,1904783,2009,41.89457135,-87.7126287,"(41.894571, -87.712629)"
Cannabis,24,1164218,1950996,2005,42.02115699,-87.67101258,"(42.021157, -87.671013)"
Crack,7,1168606,1867912,2010,41.79307513,-87.65727462,"(41.793075, -87.657275)"
Crack,3,1181951,1864423,2002,41.7832026,-87.60844819,"(41.783203, -87.608448)"
Cannabis,22,1172994,1830260,2008,41.68965725,-87.64229303,"(41.689657, -87.642293)"
Cannabis,7,1166004,1866162,2015,41.78832867,-87.66686563,"(41.788329, -87.666866)"
Crack,3,1178397,1857805,2006,41.76512359,-87.621679,"(41.765124, -87.621679)"
Crack,11,1154700,1901816,2003,41.88640059,-87.70736071,"(41.886401, -87.707361)"
Cannabis,7,,,2015,,,
Cannabis,15,1143406,1902560,2007,41.8886608,-87.74881682,"(41.888661, -87.748817)"
Cannabis,15,1141482,1898830,2016,41.87846096,-87.75597472,"(41.878461, -87.755975)"
Cannabis,2,1182533,1874026,2006,41.80954055,-87.60601653,"(41.809541, -87.606017)"
Cocaine,11,1149512,1901446,2009,41.88548754,-87.72642205,"(41.885488, -87.726422)"
Heroin,11,1150943,1903978,2014,41.89240772,-87.72110076,"(41.892408, -87.721101)"
Cannabis,3,1187358,1860663,2009,41.77275805,-87.58874399,"(41.772758, -87.588744)"
Cannabis,6,1182949,1851967,2007,41.74899896,-87.60517584,"(41.748999, -87.605176)"
Crack,7,1169973,1867826,2001,41.79280953,-87.65226448,"(41.79281, -87.652264)"
Crack,15,1143812,1906878,2009,41.90050229,-87.7472175,"(41.900502, -87.747217)"
Crack,25,1140755,1911032,2001,41.9119581,-87.75834388,"(41.911958, -87.758344)"
Cannabis,4,1196278,1850217,2009,41.74387691,-87.55639213,"(41.743877, -87.556392)"
Crack,6,1169169,1847463,2009,41.73694827,-87.6558008,"(41.736948, -87.655801)"
Hallucinogens,10,1157932,1892551,2009,41.8609112,-87.69574471,"(41.860911, -87.695745)"
Cannabis,11,1148195,1898349,2006,41.87701447,-87.73133814,"(41.877014, -87.731338)"
Heroin,15,1144397,1897908,2010,41.87587657,-87.74529452,"(41.875877, -87.745295)"
Cannabis,19,1166576,1930001,2009,41.96349581,-87.66294004,"(41.963496, -87.66294)"
Cannabis,25,1147768,1908647,2012,41.90528152,-87.73264126,"(41.905282, -87.732641)"
