Drug,District,X Coordinate,Y Coordinate,Year,Latitude,Longitude
Cannabis,7,1171782,1860764,2007,41.77339107,-87.64583816
Cannabis,7,1164967,1862231,2006,41.77756349,-87.67077899
Cannabis,4,1195915,1846487,2007,41.73365047,-87.55784532
Cannabis,2,,,2016,,
Crack,9,1167117,1870914,2005,41.80134497,-87.66264874
Crack,7,1171800,1860101,2012,41.77157133,-87.64579161
Cannabis,7,1168859,1858688,2013,41.76775789,-87.65661308
Cannabis,6,1177802,1847510,2010,41.73688639,-87.62417085
Heroin,11,1154840,1901084,2005,41.8843891,-87.70686621
Cannabis,5,1181186,1836771,2005,41.70734006,-87.61210264
Hallucinogens,10,1156105,1886835,2003,41.8452629,-87.70260538
Cannabis,6,1171140,1848166,2015,41.7388346,-87.64855917
Cannabis,15,1138899,1899460,2003,41.88023705,-87.76544378
Crack,18,1172307,1908305,2001,41.90383614,-87.64251197
Heroin,3,1179630,1859323,2001,41.76926106,-87.61711339
Cannabis,17,1146726,1923676,2004,41.94654248,-87.73608438
Cannabis,8,1156113,1863531,2013,41.7813135,-87.70320313
Cannabis,2,1179030,1879197,2011,41.82381084,-87.61870709
Crack,25,1137158,1910081,2001,41.90941386,-87.7715813
Cannabis,7,1170345,1864853,2005,41.78464318,-87.65098693
Cannabis,12,1155319,1901834,2003,41.88643757,-87.70508709
Crack,11,1147217,1896075,2001,41.87079311,-87.7349873
Cannabis,25,1141666,1918465,2008,41.93233823,-87.75481287
Cannabis,11,1148032,1906333,2005,41.89892659,-87.73173111
Cannabis,9,1167537,1870651,2005,41.80061426,-87.66111599
Crack,7,1167145,1868123,2007,41.79368554,-87.66262591
Cannabis,8,1156806,1862509,2010,41.77849502,-87.70068998
Cannabis,14,1159959,1912926,2001,41.91678043,-87.68774132
Crack,19,1167324,1931353,2011,41.96718966,-87.66015085
Crack,14,1153469,1908200,2006,41.90394345,-87.71171141
Heroin,11,1150080,1899044,2015,41.87888514,-87.72439881
Cannabis,6,1184082,1852827,2013,41.7513325,-87.60099732
Cannabis,7,1175268,1866851,2010,41.79001727,-87.63287758
Cannabis,3,1185698,1864497,2008,41.78331815,-87.5947083
Heroin,11,1144958,1895612,2007,41.8695655,-87.74329265
Crack,4,1184833,1843843,2008,41.72666187,-87.5985264
Cannabis,15,1143440,1902560,2007,41.88866016,-87.74869196
Cannabis,11,1153998,1901799,2014,41.88636796,-87.70993909
Cannabis,6,1176689,1851107,2002,41.7467821,-87.62814052
Crack,11,1148214,1899000,2005,41.87880053,-87.73125161
Cannabis,6,1183206,1842859,2008,41.72399962,-87.60451673
Heroin,18,1172740,1909425,2012,41.9068999,-87.64088826
Heroin,11,1148082,1899322,2007,41.87968667,-87.731728
Heroin,5,1183356,1831503,2004,41.69283384,-87.60431945
Cannabis,7,1167645,1866676,2003,41.78970408,-87.66083396
Cannabis,24,1164298,1950856,2004,42.02077113,-87.67072217
Cannabis,25,1150447,1909305,2008,41.90703524,-87.72278315
Crack,18,1173468,1906566,2001,41.8990385,-87.63829913
Heroin,25,1147324,1907647,2011,41.90254594,-87.73429789
Cocaine,4,1194833,1855572,2006,41.75860713,-87.56151062
Hallucinogens,15,1144446,1898000,2017,41.87612811,-87.74511229
Cannabis,2,1182386,1873939,2010,41.80930523,-87.60655839
Crack,11,1153910,1904755,2002,41.89448127,-87.71018341
Cannabis,7,1166414,1862613,2011,41.77858104,-87.66546339
Heroin,4,1192527,1854815,2008,41.75658632,-87.56998639
Heroin,11,1149044,1900332,2012,41.88243967,-87.72816949
Cannabis,17,1152827,1932500,2011,41.97063728,-87.71342419
Cannabis,7,1166785,1858959,2011,41.76854607,-87.6642075
Cannabis,25,1150703,1919018,2009,41.93368358,-87.72158822
Heroin,15,1142701,1904504,2013,41.89400851,-87.75135746
Cannabis,22,1172989,1830415,2010,41.6900827,-87.64230678
Cannabis,4,1196633,1848989,2008,41.74049838,-87.5551321
Cannabis,15,1141611,1902851,2009,41.8894927,-87.75540162
Cannabis,9,1175173,1870275,2008,41.7994152,-87.63312366
Cannabis,2,1187212,1868840,2009,41.79519986,-87.5890197
Heroin,11,1156167,1899645,2011,41.88041366,-87.70203215
Heroin,11,1152913,1904762,2005,41.89452029,-87.71384493
Heroin,15,1144321,1897907,2010,41.87587525,-87.74557359
Cannabis,3,1179954,1865151,2011,41.78524626,-87.61574751
Cannabis,8,1158837,1861168,2010,41.77477387,-87.69328075
Heroin,15,1141383,1902646,2003,41.88893437,-87.756244
Crack,10,1154223,1894344,2004,41.86590617,-87.70931187
Cannabis,22,1172749,1838303,2010,41.71173386,-87.64295394
Cannabis,11,1152073,1907615,2002,41.9023658,-87.71685473
Cannabis,11,1150483,1894425,2011,41.86620223,-87.72303965
Cocaine,9,1156460,1874476,2016,41.81134111,-87.70163607
Cannabis,5,,,2002,,
Cannabis,19,1171129,1932268,2005,41.96961755,-87.64613344
Cocaine,10,1157108,1887260,2007,41.84640887,-87.69891295
Heroin,11,1148177,1901118,2002,41.88461327,-87.73133291
Cannabis,25,1141008,1910131,2008,41.909481,-87.75743665
Cannabis,19,1171210,1927608,2007,41.9568286,-87.64597306
Heroin,7,1174223,1867619,2008,41.79214805,-87.63668646
Cannabis,24,1164306,1946138,2002,42.00782468,-87.67082711
Cannabis,5,1185279,1818451,2014,41.65697248,-87.59768703
Cannabis,10,1147298,1889007,2016,41.85139609,-87.7348708
Cannabis,5,1181505,1817649,2011,41.65485923,-87.61152113
Heroin,8,1161739,1852605,2008,41.751216,-87.68287976
Cannabis,6,1177483,1852629,2008,41.75094076,-87.62518522
Cannabis,17,1155376,1921119,2012,41.93935609,-87.70435843
Crack,3,1179567,1863737,2004,41.78137496,-87.61720958
Cannabis,4,1197125,1853151,2010,41.751907,-87.55319125
Crack,11,1150187,1903721,2004,41.89171725,-87.72388396
Crack,22,1173499,1846947,2006,41.73543766,-87.63995227
Crack,11,1152668,1905773,2011,41.89729942,-87.71471798
Cannabis,8,1147718,1864887,2014,41.78519927,-87.73394681
Cannabis,16,1133719,1929242,2013,41.96205491,-87.78376367
Cannabis,9,1162252,1881755,2006,41.83119673,-87.68018832
Heroin,6,1176942,1842324,2002,41.72267474,-87.62747741
Cannabis,8,1150780,1862712,2015,41.77917161,-87.72277664
Crack,7,1164903,1858013,2012,41.76599009,-87.67113267
Cannabis,6,1183053,1852803,2008,41.75129062,-87.60476881
Crack,20,1168713,1934093,2002,41.97467824,-87.65496392
Cocaine,12,1156542,1902303,2001,41.88769989,-87.70058322
Crack,14,1164242,1909909,2001,41.90841203,-87.67209113
Cannabis,6,1177744,1849756,2007,41.743051,-87.62431555
Heroin,15,1142186,1905811,2006,41.89760464,-87.75321645
Cocaine,7,1164481,1861317,2007,41.77506562,-87.67258642
Cannabis,18,1173785,1905531,2009,41.89619135,-87.63716566
Cannabis,4,1196724,1853140,2006,41.75188678,-87.55466106
Heroin,5,1179147,1833778,2011,41.69917348,-87.61966026
Cannabis,5,1176002,1829049,2002,41.68626734,-87.63131689
